 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x02002f  EDAT :0x0000002f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020030  EDAT :0x00000030  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020031  EDAT :0x00000031  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020032  EDAT :0x00000032  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020033  EDAT :0x00000033  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020034  EDAT :0x00000034  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020035  EDAT :0x00000035  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020036  EDAT :0x00000036  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020037  EDAT :0x00000037  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020038  EDAT :0x00000038  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020039  EDAT :0x00000039  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003a  EDAT :0x0000003a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003b  EDAT :0x0000003b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003c  EDAT :0x0000003c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003d  EDAT :0x0000003d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003e  EDAT :0x0000003e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02003f  EDAT :0x0000003f  RDAT :0xffffffff
---- [Error      ]LBUS BRAM   ADD :0x00020000    SIZE :0x100 faild read end
---- LBUS BRAM read   ADD :0x00040000    SIZE :0x100
---- [Error      ]Read bram ADD :0x040000  EDAT :0x00000000  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040001  EDAT :0x00000001  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040002  EDAT :0x00000002  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040003  EDAT :0x00000003  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040004  EDAT :0x00000004  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040005  EDAT :0x00000005  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040006  EDAT :0x00000006  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040007  EDAT :0x00000007  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040008  EDAT :0x00000008  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040009  EDAT :0x00000009  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04000a  EDAT :0x0000000a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04000b  EDAT :0x0000000b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04000c  EDAT :0x0000000c  RDAT :0xffffffff
